team_name,players_used,average_age,possession,matches_played,starts,minutes_played,minutes_90s,goals,assists,goals_assists,non_penalty_goals,penalties_scored,penalties_attempted,yellow_cards,red_cards,goals_per_90,assists_per_90,goals_assists_per_90,non_penalty_goals_per_90,goals_assists_non_penalty_per_90
Dynamo Kyiv,29,25.9,57.9,16,176,1440,16.0,34,27,61,32,2,2,18,0,2.12,1.69,3.81,2.00,3.69
Epitsentr,24,27.2,48.5,16,176,1440,16.0,18,13,31,14,4,4,27,0,1.13,0.81,1.94,0.87,1.69
FC LNZ Cherkasy,25,26.1,44.1,16,176,1440,16.0,20,12,32,18,2,3,37,1,1.25,0.75,2.00,1.13,1.87
FC Oleksandriya,30,25.1,49.2,16,176,1440,16.0,13,9,22,13,0,0,47,3,0.81,0.56,1.37,0.81,1.37
FC Polissya Zhytomyr,29,28.0,52.6,16,176,1440,16.0,26,16,42,24,2,3,29,1,1.62,1.00,2.62,1.50,2.50
FK Kolos,22,26.4,48.1,16,176,1440,16.0,16,12,28,14,2,2,25,2,1.00,0.75,1.75,0.87,1.62
Karpaty Lviv,24,26.2,54.7,16,176,1440,16.0,17,12,29,16,1,1,34,1,1.06,0.75,1.81,1.00,1.75
Kryvbas,24,24.0,48.2,16,176,1440,16.0,28,20,48,26,2,2,33,2,1.75,1.25,3.00,1.62,2.87
Kudrivka,27,27.8,51.1,16,176,1440,16.0,17,7,24,13,4,5,31,0,1.06,0.44,1.50,0.81,1.25
Metalist 1925,20,25.8,51.2,15,165,1367,15.2,18,14,32,17,1,1,21,0,1.19,0.92,2.11,1.12,2.04
Obolon-Brovar Kyiv,28,27.6,40.7,16,176,1440,16.0,12,7,19,10,2,2,32,1,0.75,0.44,1.19,0.62,1.06
Rukh Lviv,26,23.6,47.1,16,176,1440,16.0,14,9,23,13,1,3,36,0,0.87,0.56,1.44,0.81,1.37
Shakhtar,29,24.3,64.8,16,176,1440,16.0,40,27,67,37,3,4,19,0,2.50,1.69,4.19,2.31,4.00
SK Poltava,22,28.6,45.0,16,176,1440,16.0,14,10,24,12,2,2,31,2,0.87,0.62,1.50,0.75,1.37
Veres Rivne,25,26.5,42.8,15,165,1367,15.2,12,9,21,12,0,0,29,2,0.79,0.59,1.38,0.79,1.38
Zorya Luhansk,23,26.6,52.0,16,176,1440,16.0,19,18,37,19,0,0,27,0,1.19,1.13,2.31,1.19,2.31